

7.IMPLICIT_BEAMFORMING_VERIFICATION  MCS0 VHT BW-20 _POWER_DIFFERENCE_1 ;0 ; 02_08_2024_14_02_46 ;  5.56 ;4 ;7 ;POWER_DIFFERENCE_1 ; dBm   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _VIOLATION_PERCENTAGE_VSA1 ;0 ; 02_08_2024_14_02_46 ;  0.00 ;0 ;0 ;VIOLATION_PERCENTAGE_VSA1 ; ppm   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _VALUE_LO_A_VSA1 ;0 ; 02_08_2024_14_02_46 ;  0.16 ;-55 ;-5 ;VALUE_LO_A_VSA1 ; dB   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _VALUE_LO_B_VSA1 ;0 ; 02_08_2024_14_02_46 ;  0.63 ;-12.5 ;12.5 ;VALUE_LO_B_VSA1 ; dB   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _VALUE_UP_A_VSA1 ;0 ; 02_08_2024_14_02_46 ;  0.15 ;0 ; ;VALUE_UP_A_VSA1 ; dB   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _VALUE_UP_B_VSA1 ;0 ; 02_08_2024_14_02_46 ;  -0.18 ;0 ; ;VALUE_UP_B_VSA1 ; dB   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _PER ;0 ; 02_08_2024_14_02_46 ;  0.00 ;0 ; ;PER ; dB   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _RSSI_RX1 ;0 ; 02_08_2024_14_02_46 ;  -69.00 ;0 ; ;RSSI_RX1 ; dB   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _RSSI_RX2 ;0 ; 02_08_2024_14_02_46 ;  -69.00 ;0 ; ;RSSI_RX2 ; dB   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _RSSI_RX3 ;0 ; 02_08_2024_14_02_46 ;  -68.00 ;0 ; ;RSSI_RX3 ; dB   ; ''
23.TEST_VERIFY EVM MASK POWER SPECTRUM 5500 MCS0 HE_SU BW-20 ANT2 _RSSI_RX4 ;0 ; 02_08_2024_14_02_46 ;  -68.00 ;0 ; ;RSSI_RX4 ; dBm   ; ''
